respondent_id,city,gender,age,income,season,car_ownership,household_size,mode,trip_purpose,travel_time_min,satisfaction
1,Shanghai,0,33,12.8,1,1,1,5,1,22,3
2,Shanghai,1,42,12.9,2,1,2,2,2,30,2
3,Shanghai,1,37,7.6,4,1,2,4,2,22,4
4,Beijing,0,45,10.3,1,0,5,4,3,18,4
5,Beijing,1,18,2.0,4,1,4,4,1,28,3
6,Shanghai,0,24,13.6,2,0,5,1,1,21,4
7,Shanghai,0,43,15.9,3,0,5,5,2,14,2
8,Shanghai,0,42,13.1,2,1,5,1,1,34,3
9,Shanghai,0,44,15.1,4,0,3,1,1,28,3
10,Shanghai,1,55,10.9,3,0,2,2,1,32,2
11,Guangzhou,0,26,11.6,1,0,3,2,1,36,2
12,Shanghai,1,20,6.0,1,0,3,4,1,12,1
13,Guangzhou,1,19,13.5,1,0,2,5,1,8,2
14,Shanghai,0,18,10.5,4,0,2,4,1,21,4
15,Shanghai,1,45,4.7,2,0,5,2,3,43,1
16,Beijing,1,37,10.1,1,1,3,1,1,30,3
17,Beijing,1,28,11.9,3,0,2,4,1,28,4
18,Beijing,1,48,18.5,4,1,1,2,2,57,2
19,Shanghai,1,34,12.3,3,0,3,2,1,56,2
20,Shanghai,1,25,14.8,4,0,1,1,3,38,5
21,Shanghai,0,29,16.3,3,0,1,2,1,45,3
22,Shanghai,1,46,2.0,1,1,5,2,1,23,3
23,Beijing,0,25,18.3,2,1,3,5,3,26,3
24,Beijing,1,42,12.7,3,1,3,2,1,49,2
25,Beijing,0,35,12.0,3,0,2,2,1,48,3
26,Shanghai,1,33,7.4,3,0,2,1,3,40,2
27,Guangzhou,0,38,12.6,3,0,4,4,2,14,2
28,Beijing,0,35,7.5,1,0,2,4,1,20,1
29,Shanghai,0,28,17.1,3,0,2,1,1,30,4
30,Guangzhou,0,34,13.6,4,1,4,1,2,57,3
31,Shanghai,1,47,7.9,2,0,4,2,1,53,2
32,Shanghai,1,52,18.3,1,0,3,1,1,19,4
33,Beijing,0,36,15.1,3,1,3,4,1,35,3
34,Beijing,0,30,9.4,1,0,5,1,2,28,4
35,Shanghai,0,46,14.1,4,0,4,5,4,10,3
36,Guangzhou,1,23,16.4,2,1,3,4,2,15,3
37,Beijing,1,54,9.8,1,1,4,3,4,44,3
38,Shanghai,0,51,20.7,1,0,4,1,3,36,3
39,Beijing,0,47,14.1,2,1,2,4,1,8,2
40,Shanghai,1,42,12.9,4,1,2,3,4,55,3
41,Shanghai,0,28,18.9,2,0,3,4,1,30,3
42,Shanghai,0,22,15.2,2,1,3,4,4,28,3
43,Shanghai,0,39,13.0,1,1,1,3,3,45,4
44,Shanghai,1,46,12.8,4,1,1,2,3,46,3
45,Beijing,1,31,18.1,1,1,2,1,3,18,3
46,Shanghai,0,29,9.8,3,0,5,1,1,32,2
47,Shanghai,0,38,16.0,4,1,2,2,2,35,1
48,Beijing,0,30,13.0,2,1,5,1,1,31,4
49,Shanghai,1,38,11.4,3,1,1,1,4,16,2
50,Beijing,1,37,15.8,2,1,3,1,3,44,2
51,Shanghai,1,44,14.4,2,0,1,3,1,51,5
52,Beijing,1,29,8.9,4,1,1,2,1,44,3
53,Shanghai,1,35,9.6,3,1,5,1,1,22,4
54,Beijing,1,49,15.3,2,0,2,3,2,58,3
55,Guangzhou,0,48,13.3,1,0,3,1,2,21,3
56,Shanghai,1,25,12.9,4,0,4,2,1,37,3
57,Beijing,0,47,13.6,4,0,2,1,1,22,2
58,Beijing,0,44,13.5,3,1,5,1,3,37,4
59,Shanghai,1,26,4.3,2,0,3,1,2,27,2
60,Shanghai,1,33,24.2,2,1,1,2,1,41,2
61,Shanghai,0,37,15.3,4,1,3,4,1,23,4
62,Beijing,0,23,17.6,2,1,2,3,2,59,3
63,Beijing,1,26,9.1,4,1,1,1,2,27,3
64,Beijing,1,38,9.7,3,1,1,5,3,8,3
65,Shanghai,0,51,17.9,3,0,3,3,2,47,1
66,Guangzhou,0,51,9.7,3,1,4,2,1,51,2
67,Shanghai,0,28,10.5,2,1,5,1,4,33,3
68,Beijing,0,35,10.5,3,1,5,4,1,33,1
69,Beijing,1,30,12.3,2,1,3,2,1,41,3
70,Shanghai,1,47,12.9,1,1,1,2,1,44,2
71,Shanghai,1,29,5.0,4,0,5,1,4,30,4
72,Beijing,1,29,15.2,4,0,1,2,2,37,3
73,Beijing,0,30,14.9,2,0,4,3,3,59,3
74,Shanghai,0,31,2.0,3,0,3,1,1,40,5
75,Beijing,1,35,13.9,1,1,4,2,1,47,2
76,Shanghai,1,31,6.9,4,0,5,4,2,16,2
77,Shanghai,1,34,12.1,4,0,2,4,1,37,3
78,Shanghai,1,20,10.4,1,0,3,2,1,47,2
79,Shanghai,1,39,12.6,4,0,3,3,1,52,3
80,Shanghai,0,23,13.0,2,0,2,2,2,48,1
